label,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
2025-075,11.19599976,9.922600165,12.98669912,339.3733744,426.5097897,1.308800002,1.256756781,0.807406721,0.790127001
2025-076,7.589599863,9.735500067,10.87559946,263.6323798,345.8350854,1.432960848,1.311808078,0.903784194,0.916604186
2025-077,4.243399948,4.403200001,4.914500564,57.42193037,34.46155184,1.15815163,0.600146174,0.891859049,0.886763643
2025-078,4.823900014,5.766499788,4.620999843,64.45347087,35.12548327,1.247890064,0.544974271,0.804734624,0.775668816
2025-079,4.688500054,4.51889988,5.345799774,72.5747068,54.0402071,1.182986991,0.744614887,0.952452891,0.963931631
2025-080,8.151100017,10.44130027,14.92190026,363.6564572,396.6968225,1.83066092,1.090855984,0.717957333,0.709237025
2025-081,5.422099866,6.486700103,7.158600539,121.5108187,105.2666467,1.320263499,0.866315015,0.887284789,0.875675935
2025-082,7.358600199,8.450499922,7.602999359,173.4092805,161.3396784,1.148384162,0.930398177,0.826493126,0.847809601
2025-083,3.865900077,4.305200092,8.118699491,82.06972608,50.66435166,2.100080015,0.617333018,0.806806646,0.822863635
2025-084,6.448000111,10.18819995,7.600799948,177.9252667,152.2693657,1.580055797,0.855805185,0.775035374,0.780631985
2025-085,5.870999955,3.917199932,6.708999723,84.63223688,42.16968966,1.71270291,0.498269823,0.692280196,0.67082846
2025-086,7.358699664,8.654199913,8.387699351,200.58096,228.696476,1.176050159,1.140170413,0.901641862,0.90135139
2025-087,6.514499895,8.086499944,8.843900263,163.1547959,138.0558318,1.357571633,0.846164717,0.791748869,0.764068738
2025-088,8.731799945,9.616599977,8.380199224,230.4919224,290.4975475,1.147538348,1.260337215,0.920287227,0.950717447
2025-089,6.541100144,8.093699813,9.096400067,188.78469,227.2250576,1.390652928,1.203620153,0.953867755,0.986278512
2025-090,9.010599926,9.766300023,7.223800197,208.3700196,248.0405938,1.351961538,1.19038523,0.916215005,0.967690475
2025-091,12.43729964,12.22229972,7.039100304,267.814937,304.1443412,1.766887685,1.13565115,0.81664973,0.885076359
2025-092,7.5801,6.711800024,12.90740073,265.3506985,310.6981654,1.923090778,1.170896354,0.83603222,0.866709098
2025-093,11.1556001,9.592700005,11.54360026,302.6538398,394.4369818,1.203373425,1.303261119,0.859388796,0.902733232
2025-094,7.07780011,11.95520014,8.534800634,267.5850478,345.0853848,1.689112429,1.289628802,0.889146506,0.925017652
2025-095,11.3175001,10.9246999,7.253199816,274.1791567,368.9396667,1.560345832,1.345615295,0.907304898,0.949647854
2025-096,4.319799878,3.908899985,6.149800122,76.00957817,49.33786985,1.573281523,0.649100693,0.855860005,0.917130795
2025-097,4.388299957,4.986100085,5.233599991,71.05017918,53.152156,1.192625856,0.748093201,0.962201886,0.978734281
2025-098,3.347099945,3.06509994,3.618200123,33.55727078,17.12162885,1.180450946,0.510221137,0.957328257,0.976953933
2025-099,3.288500011,3.609099984,3.539899737,37.54253263,20.77780701,1.097491249,0.553447132,0.973554712,0.984072867
2025-100,9.451499954,8.57039988,7.105099782,206.7270366,233.6889437,1.330241692,1.130422743,0.88752165,0.922332596
2025-101,11.13649979,12.94950023,7.570999861,277.66507,350.2370256,1.710408199,1.261365088,0.865374803,0.957020324
2025-102,9.958600253,10.66639982,7.83209987,240.4526108,303.3154243,1.361882509,1.261435354,0.907927056,0.968174945
2025-103,9.193599969,8.361500129,8.744699508,238.8427573,319.810456,1.099515616,1.339000017,0.946892087,0.967773982
2025-104,8.501999825,10.21069996,12.06010021,314.6842508,422.0081432,1.418501583,1.341052633,0.864615474,0.916706393
2025-105,3.658900037,4.512999952,4.812499881,54.70840627,34.97707422,1.315285969,0.639336376,0.945407508,0.97653772
2025-106,4.516799934,3.948600031,3.704399616,50.01753467,30.59467974,1.219306879,0.611679083,0.945785062,0.974353724
2025-107,4.409899935,6.278899871,5.112600327,88.68903481,72.15377907,1.423819126,0.813559187,0.945047384,0.981088753
2025-108,4.777699895,4.177000001,4.710699618,66.27887226,47.8799815,1.143811322,0.722401873,0.962081057,0.978469064
2025-109,3.476899955,2.979000099,3.715900332,36.48074979,18.73297033,1.247364957,0.513502887,0.935028393,0.970934023
2025-110,8.377600089,13.07609975,7.436500117,240.582008,282.2324689,1.758367451,1.173123756,0.86488619,0.957300027
2025-111,7.33250007,12.10789979,7.667800039,232.8127841,283.1684184,1.651264871,1.216292393,0.895723242,0.955979962
2025-112,8.415300027,8.611900359,7.86450021,215.3148258,272.5095923,1.095034666,1.265633202,0.944056643,0.976865377
