label,group_id,bucket_id,pin_id,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
R10-3,1,10,3,5.096900090575218,6.183899752795696,7.8129008412361145,125.74927862757144,121.55451618186176,1.532873060565403,0.9666418567844575,0.9436827609496891,0.9833000191247396
R10-4,1,10,4,5.864299833774567,5.491599999368191,7.2265006601810455,121.762188296924,121.2902751934362,1.3159189782599707,0.9961243050072572,0.9731706462766598,0.9919081709234936
R10-5,1,10,5,6.465600058436394,6.134700030088425,8.842500299215317,166.05311185693768,188.0254702604541,1.441390818759864,1.1323212685254982,0.9558319898736575,0.98723960516291
R10-6,1,10,6,5.773399956524372,6.190799921751022,9.096600487828255,157.28568332415938,170.44960268478542,1.575605458885352,1.0836943266698709,0.9452040921152703,0.9876620545655255
R10-7,1,10,7,5.761600099503994,6.185399740934372,8.389098942279816,148.90072485530476,159.7391505983796,1.4560363089069681,1.0727896103501655,0.9561548370588946,0.9829832502532554
R10-8,1,10,8,6.560799852013588,7.058199867606163,10.184500366449356,190.51520177694863,226.610514834776,1.5523260267303554,1.1894615900524677,0.9434984573470896,0.9779817527953782
R10-9,1,10,9,4.073499888181686,4.715699888765812,5.585499852895737,70.58940034634705,53.27391523784914,1.3711795768304222,0.7547013429276995,0.9699612297849635,0.9912268629246238
R10-10,1,10,10,5.044399946928024,5.116700008511543,7.298300415277481,104.7057802742565,92.85652452957729,1.4468124042626822,0.8868328404254056,0.9470838190590168,0.9791539774018065
R11-1,1,11,1,6.57270010560751,5.512700043618679,7.761199772357941,136.1777388691609,141.52276335737292,1.4078763057935741,1.0392503542252784,0.9644111120078785,0.987174491359943
R11-2,1,11,2,5.441699922084808,5.244900099933147,7.211200147867203,111.31836622966009,105.1070136617501,1.3748975214912327,0.9442019068525009,0.9675463197435205,0.992136506943698
R11-3,1,11,3,5.657000094652176,6.070199981331825,7.743699848651886,128.01688524271978,126.3765315256162,1.3688703763629708,0.9871864268999088,0.9513226188243491,0.9898607277624831
R11-4,1,11,4,7.949899882078171,7.67190009355545,9.767400473356247,231.75952357193364,316.9245844430105,1.2731396856381196,1.367471677359758,0.9699525476894971,0.9883808549003332
R11-5,1,11,5,8.710799738764763,7.962600141763687,8.702300488948822,224.29218315540763,306.33056152362434,1.0939642307387487,1.365765659837436,0.9797836869053265,0.9895276390588031
R11-6,1,11,6,7.824699953198433,6.8122997879981995,10.055499151349068,209.1530450392801,267.11682551083027,1.4760799530673452,1.2771357235591012,0.9590047594557187,0.984732435697896
R11-7,1,11,7,7.467399910092354,6.679400056600571,9.247900545597076,185.98248136450383,226.23060054495448,1.3845405975433853,1.216408120190466,0.9654126510995681,0.9918611143539795
R11-8,1,11,8,5.387100018560886,5.1461998373270035,7.576300948858261,107.6513778957735,98.02881165400365,1.4722127372328162,0.9106136267843568,0.9550666718839245,0.993034934335926
R11-9,1,11,9,6.283599883317947,7.392900064587593,9.387499839067459,183.58777454921892,218.8212402627717,1.4939684278736332,1.191916187230141,0.9565331314871758,0.988110843739496
R11-10,1,11,10,4.7074999660253525,4.2518001049757,5.168399959802628,69.56964108421218,53.43090897564859,1.2155792446014264,0.7680204776530601,0.9861116055502706,0.9954088669233685
R12-1,1,12,1,4.591500014066696,5.749000050127506,7.294000685214996,107.78022198416603,99.48034513461468,1.5885877519043483,0.9229925797446336,0.9633185123219306,0.9894407768487835
