label,year,group_id,bucket_id,pin_id,minor axis length (cm),middle axis length (cm),major axis length (cm),area (cm2),volume (cm3),aspect ratio,volume/surface ratio,sphericity,convexity
3R4-2,2023,3,4,2,6.981699913740158,7.1066997945308685,9.495100006461143,199.3355948147125,247.69482814186856,1.3599982989493078,1.2426020970921283,0.9568500718794176,0.9856301218982229
3R4-3,2023,3,4,3,6.69729970395565,6.395900063216686,9.110899642109873,176.4477330294059,207.07976646646955,1.4244906193121054,1.1736040067568263,0.9593118721259484,0.9910378625209788
3R4-4,2023,3,4,4,6.466600298881531,6.344999931752682,10.0212000310421,178.17286343224404,196.7798376745424,1.579385364669963,1.1044321446255156,0.918254284706348,0.9653571782008992
3R4-5,2023,3,4,5,6.084300018846989,6.382700055837631,8.677699789404869,156.22264728514293,170.30456014105567,1.426244557718136,1.090140021953475,0.9510959146750028,0.9822759394168848
3R4-6,2023,3,4,6,4.934900067746639,4.639000073075295,6.196700036525726,88.89292278329494,75.5874733855294,1.33578356087798,0.8503204869278307,0.9725609419775478,0.9912416756126342
3R4-7,2023,3,4,7,7.047799974679947,7.0510998368263245,9.807900339365004,202.59391020672,256.25079899281513,1.3916258087064113,1.2648494652743778,0.9630183367651384,0.9906028782223172
3R4-8,2023,3,4,8,5.710100010037422,6.592300161719322,8.129899576306343,147.46761582765183,159.8748435960478,1.4237753387883416,1.0841352706406846,0.9659935368191576,0.9910730614843564
3R4-9,2023,3,4,9,4.849000088870525,4.600399918854237,6.217100471258164,82.89480555525198,67.94276915028308,1.3514260892358632,0.8196263770110072,0.9713721243945296,0.9910250457398412
3R4-10,2023,3,4,10,5.867699906229973,5.970600061118603,6.96370042860508,119.68373964029357,119.79684192155796,1.1867853741482994,1.0009450095861336,0.9819270408133812,0.9929475889150876
3R5-1,2023,3,5,1,7.895099744200706,7.42340013384819,10.539699718356133,238.53443690454947,315.62995472826066,1.4197941008593449,1.323204979642253,0.9398355028780786,0.9805516269285552
3R5-2,2023,3,5,2,8.058499917387962,6.865599937736988,11.152199283242226,245.07764990479663,332.70116995790244,1.6243590340800094,1.3575337044693558,0.9474361890904286,0.9872584649875696
3R5-3,2023,3,5,3,6.175399757921696,6.295400112867355,8.875500410795212,160.07047058440725,178.06915576501115,1.4372349578518984,1.1124422581809863,0.9562366152438402,0.9904696545762296
3R5-4,2023,3,5,4,5.224499851465225,6.476199999451637,8.525199815630913,146.8931986059766,155.22232659905796,1.6317733865453163,1.0567019308730776,0.9508643445971712,0.9888293448122176
3R5-5,2023,3,5,5,6.50859996676445,6.292099878191948,9.95579957962036,186.5128798636553,219.05378851115444,1.5822697942425523,1.17447003483774,0.9421986457962676,0.9893135076783116
3R5-6,2023,3,5,6,4.62689995765686,4.860999993979931,6.199300289154053,82.4934635541372,67.99149800998072,1.3398388436938418,0.8242046712629612,0.9765646349896822,0.9921981838621596
3R5-7,2023,3,5,7,5.9627000242471695,5.521799996495247,7.273900136351585,123.67990193269311,122.32350215429356,1.3173059764874528,0.9890329814528984,0.96351451892985,0.9824708069445166
3R5-8,2023,3,5,8,7.03900009393692,5.932900123298168,9.335000440478323,181.14470070300987,214.129755687233,1.573429561677652,1.1820922988981208,0.9555274592087336,0.9911852942845386
3R5-9,2023,3,5,9,5.168499983847141,5.675200000405312,7.542899250984192,118.97504856559948,115.63450687975102,1.459398137671983,0.9719223339168752,0.9647612884797064,0.9933252353656258
3R5-10,2023,3,5,10,4.245400056242943,5.01640010625124,6.426500156521797,87.66793455276985,73.30706936011134,1.5137560822027842,0.8361902186253254,0.966215325286924,0.9921501789965076
3R6-1,2023,3,6,1,6.051399931311607,5.805600062012672,7.05140084028244,124.07784562322468,125.72774531166372,1.2145860488085147,1.013297294776129,0.9781616502664991,0.9914973713894104
3R6-2,2023,3,6,2,6.886899843811989,6.511900015175343,10.962700471282004,189.72501783239136,216.87277106915025,1.6834872227359925,1.1430900022934352,0.9200883701197852,0.9649021813103716
3R6-3,2023,3,6,3,6.54119998216629,6.2234001234173775,8.243800327181816,156.23169085676636,174.22156541657932,1.3246457183689808,1.1151486901355123,0.9655681516491676,0.9874050449133634
3R6-4,2023,3,6,4,5.791000090539455,5.868600122630596,9.043600410223007,151.5453289818376,153.4044905952663,1.56166469846844,1.012268023210742,0.914464712595302,0.9448571528409184
3R6-5,2023,3,6,5,6.997699663043022,7.736299932003021,10.339799895882608,218.1858789247649,268.4548681491298,1.477599839057145,1.2303952458889365,0.92236965693941,0.9615719424338148
